metric,val_prec,val_recall,val_f1,test_prec,test_recall,test_f1,name,freeze_enc,params,data,tag_emb_type,tag_emb,tag_rnn,par_rnn,par_rnn_l,mlp_h,arc_norm,par_rnn_h,par_type,par_gnn_layers,seed,training_steps
parser_labeled_results,0.251,0.25,0.2505,0.3075,0.2923,0.2997,bert-base-uncased,frozen,3.02,scierc,linear,0,0,LSTM,2,300,1,200,simple,0,3,2000
parser_labeled_results,0.2794,0.259,0.2688,0.3432,0.2839,0.3108,bert-base-uncased,frozen,3.02,scierc,linear,0,0,LSTM,2,300,1,200,simple,0,1,2000
parser_labeled_results,0.3102,0.237,0.2687,0.4106,0.283,0.3351,bert-base-uncased,frozen,3.02,scierc,linear,0,0,LSTM,2,300,1,200,simple,0,2,2000
parser_labeled_results,0.2464,0.27,0.2576,0.2876,0.2974,0.2924,bert-base-uncased,frozen,3.02,scierc,linear,0,0,LSTM,2,300,1,200,simple,0,4,2000
parser_labeled_results,0.2509,0.208,0.2274,0.2999,0.245,0.2697,bert-base-uncased,frozen,3.02,scierc,linear,0,0,LSTM,2,300,1,200,simple,0,0,2000
parser_labeled_results,0.2668,0.23,0.247,0.3289,0.2645,0.2932,bert-base-uncased,frozen,3.02,scierc,linear,0,0,LSTM,2,300,0,200,simple,0,2,2000
parser_labeled_results,0.2452,0.243,0.2441,0.3157,0.2849,0.2995,bert-base-uncased,frozen,3.02,scierc,linear,0,0,LSTM,2,300,0,200,simple,0,4,2000
parser_labeled_results,0.2663,0.237,0.2508,0.3337,0.2691,0.2979,bert-base-uncased,frozen,3.02,scierc,linear,0,0,LSTM,2,300,0,200,simple,0,1,2000
parser_labeled_results,0.2475,0.225,0.2357,0.2835,0.2404,0.2602,bert-base-uncased,frozen,3.02,scierc,linear,0,0,LSTM,2,300,0,200,simple,0,0,2000
parser_labeled_results,0.2767,0.254,0.2649,0.3128,0.2705,0.2901,bert-base-uncased,frozen,3.02,scierc,linear,0,0,LSTM,2,300,0,200,simple,0,3,2000
parser_labeled_results,0.2442,0.244,0.2441,0.3137,0.296,0.3046,bert-base-uncased,frozen,2.78,scierc,linear,0,0,LSTM,2,100,1,200,simple,0,3,2000
parser_labeled_results,0.2719,0.242,0.2561,0.3392,0.2844,0.3094,bert-base-uncased,frozen,2.78,scierc,linear,0,0,LSTM,2,100,1,200,simple,0,0,2000
parser_labeled_results,0.264,0.274,0.2689,0.3282,0.3159,0.3219,bert-base-uncased,frozen,2.78,scierc,linear,0,0,LSTM,2,100,1,200,simple,0,2,2000
parser_labeled_results,0.2637,0.236,0.2491,0.2972,0.2427,0.2672,bert-base-uncased,frozen,2.78,scierc,linear,0,0,LSTM,2,100,1,200,simple,0,4,2000
parser_labeled_results,0.2764,0.241,0.2575,0.355,0.2913,0.32,bert-base-uncased,frozen,2.78,scierc,linear,0,0,LSTM,2,100,1,200,simple,0,1,2000
parser_labeled_results,0.2168,0.292,0.2488,0.2449,0.3048,0.2716,bert-base-uncased,frozen,2.78,scierc,linear,0,0,LSTM,2,100,0,200,simple,0,3,2000
parser_labeled_results,0.2411,0.237,0.239,0.3087,0.2751,0.291,bert-base-uncased,frozen,2.78,scierc,linear,0,0,LSTM,2,100,0,200,simple,0,2,2000
parser_labeled_results,0.2495,0.27,0.2594,0.2814,0.2895,0.2854,bert-base-uncased,frozen,2.78,scierc,linear,0,0,LSTM,2,100,0,200,simple,0,1,2000
parser_labeled_results,0.2218,0.195,0.2076,0.2546,0.2117,0.2312,bert-base-uncased,frozen,2.78,scierc,linear,0,0,LSTM,2,100,0,200,simple,0,0,2000
parser_labeled_results,0.2646,0.236,0.2495,0.3431,0.2756,0.3057,bert-base-uncased,frozen,2.78,scierc,linear,0,0,LSTM,2,100,0,200,simple,0,4,2000
parser_labeled_results,0.2407,0.247,0.2438,0.3058,0.2913,0.2984,bert-base-uncased,frozen,3.34,scierc,linear,0,0,LSTM,2,500,1,200,simple,0,4,2000
parser_labeled_results,0.2532,0.235,0.2438,0.342,0.2913,0.3147,bert-base-uncased,frozen,3.34,scierc,linear,0,0,LSTM,2,500,1,200,simple,0,3,2000
parser_labeled_results,0.2497,0.234,0.2416,0.2976,0.2598,0.2774,bert-base-uncased,frozen,3.34,scierc,linear,0,0,LSTM,2,500,1,200,simple,0,1,2000
parser_labeled_results,0.2799,0.239,0.2578,0.3185,0.2483,0.279,bert-base-uncased,frozen,3.34,scierc,linear,0,0,LSTM,2,500,1,200,simple,0,2,2000
parser_labeled_results,0.2648,0.242,0.2529,0.3829,0.3256,0.3519,bert-base-uncased,frozen,3.34,scierc,linear,0,0,LSTM,2,500,1,200,simple,0,0,2000
parser_labeled_results,0.2803,0.229,0.2521,0.3227,0.2478,0.2803,bert-base-uncased,frozen,3.34,scierc,linear,0,0,LSTM,2,500,0,200,simple,0,3,2000
parser_labeled_results,0.2991,0.21,0.2468,0.3505,0.227,0.2755,bert-base-uncased,frozen,3.34,scierc,linear,0,0,LSTM,2,500,0,200,simple,0,2,2000
parser_labeled_results,0.2298,0.256,0.2422,0.274,0.2839,0.2789,bert-base-uncased,frozen,3.34,scierc,linear,0,0,LSTM,2,500,0,200,simple,0,0,2000
parser_labeled_results,0.244,0.205,0.2228,0.2762,0.2233,0.2469,bert-base-uncased,frozen,3.34,scierc,linear,0,0,LSTM,2,500,0,200,simple,0,4,2000
parser_labeled_results,0.2613,0.237,0.2486,0.296,0.251,0.2717,bert-base-uncased,frozen,3.34,scierc,linear,0,0,LSTM,2,500,0,200,simple,0,1,2000
parser_labeled_results,0.646,0.695,0.6696,0.6698,0.6779,0.6738,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,1,200,simple,0,3,2000
parser_labeled_results,0.6573,0.6768,0.6669,0.6749,0.6587,0.6667,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,1,200,simple,0,4,2000
parser_labeled_results,0.6903,0.6669,0.6784,0.6919,0.6587,0.6749,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,1,200,simple,0,0,2000
parser_labeled_results,0.6531,0.6752,0.664,0.6774,0.6562,0.6667,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,1,200,simple,0,2,2000
parser_labeled_results,0.6546,0.6735,0.664,0.7025,0.6755,0.6887,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,1,200,simple,0,1,2000
parser_labeled_results,0.6535,0.6529,0.6532,0.6567,0.6346,0.6455,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,0,200,simple,0,0,2000
parser_labeled_results,0.6477,0.6867,0.6667,0.6643,0.6707,0.6675,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,0,200,simple,0,1,2000
parser_labeled_results,0.6582,0.6843,0.671,0.6797,0.6683,0.6739,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,0,200,simple,0,2,2000
parser_labeled_results,0.6471,0.6711,0.6588,0.6626,0.6466,0.6545,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,0,200,simple,0,4,2000
parser_labeled_results,0.6337,0.6488,0.6411,0.6641,0.6274,0.6452,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,0,200,simple,0,3,2000
parser_labeled_results,0.6587,0.681,0.6696,0.6538,0.6538,0.6538,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,1,200,simple,0,1,2000
parser_labeled_results,0.6614,0.6554,0.6584,0.6624,0.6226,0.6419,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,1,200,simple,0,0,2000
parser_labeled_results,0.6535,0.6826,0.6677,0.6537,0.6442,0.6489,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,1,200,simple,0,3,2000
parser_labeled_results,0.6635,0.681,0.6721,0.6995,0.6659,0.6823,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,1,200,simple,0,2,2000
parser_labeled_results,0.6902,0.676,0.683,0.6726,0.637,0.6543,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,1,200,simple,0,4,2000
parser_labeled_results,0.6619,0.6521,0.657,0.6961,0.6442,0.6692,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,0,200,simple,0,2,2000
parser_labeled_results,0.6914,0.6521,0.6712,0.7078,0.6346,0.6692,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,0,200,simple,0,4,2000
parser_labeled_results,0.6212,0.7057,0.6607,0.6358,0.6923,0.6628,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,0,200,simple,0,1,2000
parser_labeled_results,0.6481,0.6818,0.6645,0.6811,0.6827,0.6819,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,0,200,simple,0,3,2000
parser_labeled_results,0.6315,0.6554,0.6432,0.6481,0.6418,0.6449,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,0,200,simple,0,0,2000
parser_labeled_results,0.6399,0.6711,0.6551,0.6846,0.6731,0.6788,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,1,200,simple,0,0,2000
parser_labeled_results,0.6333,0.6933,0.6619,0.6612,0.6755,0.6683,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,1,200,simple,0,2,2000
parser_labeled_results,0.6344,0.6851,0.6587,0.6513,0.6466,0.649,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,1,200,simple,0,3,2000
